timestamp,index,name,memory.used [MiB],memory.total [MiB],utilization.gpu [%],utilization.memory [%]
2026/05/13 21:37:02.335, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:07.337, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:07.338, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:12.341, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:12.342, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:17.344, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:17.346, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:22.347, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:22.349, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:27.351, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:27.353, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:32.354, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:32.356, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:37.358, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:37.360, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:42.362, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:42.364, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:47.366, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:47.368, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:52.369, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:52.371, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:57.373, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:37:57.374, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:02.376, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:02.378, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:07.379, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:07.382, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:12.383, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:12.385, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:17.386, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:17.388, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:22.389, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:22.391, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:27.393, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:27.395, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:32.397, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:32.399, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:37.402, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:37.404, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:42.406, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:42.408, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:47.409, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:47.413, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:52.415, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:52.417, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:57.419, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:38:57.421, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:02.423, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:02.425, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:07.427, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:07.428, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:12.429, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:12.431, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:17.433, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
