timestamp_unix,latency_ms,ok,http_status,gateway_instance,error
1782128498.049565,5.017,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128498.155654,4.688,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128498.261107,5.433,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128498.367762,5.509,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128498.475865,5.014,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128498.582622,5.858,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128498.688958,3.032,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128498.794155,5.201,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128498.900398,5.220,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128499.006387,5.319,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128499.112059,5.518,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128499.218129,4.845,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128499.324099,3.354,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128499.428261,1.298,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128499.530100,2.347,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128499.633024,4.711,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128499.739004,2.399,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128499.842258,1.445,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128499.943964,2.004,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128500.047880,1.432,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128500.150085,2.309,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128500.253123,5.443,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128500.359355,3.568,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128500.463360,6.419,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128500.571232,3.671,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128500.675135,2.040,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128500.780440,5.588,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128500.887070,4.327,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128500.992287,1.783,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128501.095155,4.095,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128501.201194,5.613,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128501.308488,6.050,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128501.417714,5.865,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128501.524122,4.355,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128501.629180,6.082,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128501.739351,11.004,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128501.855879,3.477,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128501.960861,2.324,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128502.067692,4.070,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128502.175968,2.413,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128502.283138,3.639,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128502.388306,3.201,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128502.492071,4.291,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128502.597386,5.823,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128502.704100,4.605,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128502.810726,3.917,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128502.916713,5.459,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128503.023464,3.878,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128503.129053,5.563,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128503.236422,6.864,1,200,inference-gateway-78cbd9f4cc-p6prt,
