timestamp_unix,latency_ms,ok,http_status,gateway_instance,error
1782125825.755096,4.946,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125825.863263,5.959,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125825.971082,1.786,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125826.075963,2.764,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125826.182559,3.797,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125826.289477,5.845,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125826.396352,5.385,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125826.502151,5.201,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125826.608397,5.824,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125826.715122,7.522,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125826.823203,6.464,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125826.930202,4.936,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125827.037039,3.592,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125827.142007,5.439,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125827.248653,5.194,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125827.355787,7.010,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125827.464860,5.301,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125827.572537,5.155,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125827.678743,6.036,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125827.785852,6.996,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125827.893464,4.949,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125828.002003,5.793,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125828.108445,3.113,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125828.215010,4.533,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125828.321086,5.175,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125828.429639,5.703,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125828.538749,2.647,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125828.642123,5.305,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125828.749444,3.463,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125828.853402,4.973,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125828.959775,5.491,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125829.066225,4.983,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125829.173196,5.441,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125829.283311,5.270,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125829.389696,9.779,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125829.500470,6.590,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125829.608471,3.433,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125829.714703,10.826,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125829.826693,5.311,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125829.933788,4.774,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125830.040301,8.047,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125830.149392,12.236,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125830.262027,4.818,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125830.368332,5.593,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125830.475035,4.761,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125830.580170,4.263,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125830.685028,6.176,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125830.792036,5.131,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125830.898358,4.282,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125831.003983,5.343,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125831.110101,4.383,1,200,inference-gateway-78cbd9f4cc-p6prt,
