timestamp_unix,latency_ms,ok,http_status,gateway_instance,error
1782128375.381138,4.670,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128375.487675,5.270,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128375.593744,5.151,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128375.699198,5.479,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128375.805845,4.275,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128375.912638,4.186,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128376.018504,4.965,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128376.124473,4.603,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128376.231096,5.100,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128376.337137,5.570,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128376.443190,5.059,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128376.549098,4.018,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128376.653941,3.350,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128376.759405,1.820,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128376.862162,2.303,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128376.966518,6.737,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128377.074008,2.342,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128377.177144,1.455,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128377.278953,2.231,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128377.383398,1.407,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128377.487145,2.028,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128377.590087,3.316,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128377.694116,5.237,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128377.801076,5.536,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128377.908485,4.297,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128378.016751,5.525,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128378.123134,4.341,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128378.228360,4.560,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128378.335182,4.857,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128378.440816,5.075,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128378.547040,5.583,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128378.653160,4.826,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128378.760412,5.313,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128378.867546,4.982,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128378.973449,4.327,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128379.079129,5.301,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128379.185554,5.328,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128379.292081,4.353,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128379.398384,2.400,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128379.502648,2.408,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128379.606646,3.561,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128379.712844,4.935,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128379.821708,4.898,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128379.927340,7.171,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128380.035961,5.228,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128380.142509,4.585,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128380.248172,6.173,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128380.359161,4.946,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128380.468312,5.815,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128380.575358,5.099,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128380.682807,5.589,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128380.789542,4.182,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128380.894061,4.921,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128381.003229,5.862,1,200,inference-gateway-78cbd9f4cc-bf52k,
