timestamp_unix,latency_ms,ok,http_status,instance,error
1782084198.711852,4.425,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084198.812931,3.621,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084198.913796,4.326,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084199.014744,3.548,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084199.117991,4.387,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084199.219777,4.014,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084199.320487,4.551,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084199.420852,4.238,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084199.524109,4.366,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084199.625170,4.053,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084199.725662,4.275,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084199.827778,4.178,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084199.929901,1.783,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084200.030981,3.814,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084200.131777,4.271,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084200.232690,4.287,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084200.332842,3.455,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084200.433893,4.284,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084200.534716,3.959,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084200.635862,4.353,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084200.736392,4.470,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084200.836847,4.588,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084200.937930,3.390,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084201.038800,2.366,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084201.140250,3.778,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084201.241839,4.369,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084201.343948,4.035,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084201.444874,4.558,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084201.545937,4.305,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084201.647996,4.489,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084201.749649,4.367,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084201.849887,4.462,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084201.950883,4.624,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084202.052088,3.418,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084202.153395,4.256,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084202.254381,4.561,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084202.354982,4.233,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084202.458055,4.155,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084202.558697,3.478,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084202.658884,1.402,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084202.760232,3.826,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084202.861506,3.916,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084202.961999,2.890,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084203.063673,4.606,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084203.164690,5.617,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084203.265015,5.052,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084203.365467,5.051,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084203.467091,3.415,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084203.567792,5.088,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084203.673200,3.682,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084203.773768,2.073,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084203.874932,2.336,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084203.976686,3.126,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084204.077745,3.335,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084204.178800,2.351,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084204.280075,3.100,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084204.380817,2.748,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084204.481939,6.146,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084204.583029,3.916,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084204.683819,4.910,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084204.784930,3.170,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084204.886567,3.999,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084204.987981,2.776,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084205.089071,3.246,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084205.189544,3.588,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084205.290477,3.000,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084205.391561,4.382,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084205.491748,2.291,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084205.592578,2.937,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084205.693547,2.228,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084205.793694,1.961,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084205.894820,3.736,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084205.999657,2.951,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084206.100766,2.188,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084206.201454,2.497,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084206.302494,4.694,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084206.403692,4.072,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084206.504401,4.402,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084206.605596,4.567,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084206.706554,4.473,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084206.811988,4.217,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084206.912522,4.345,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084207.013516,3.432,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084207.113589,2.708,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084207.214573,3.870,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084207.315557,4.415,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084207.416882,4.900,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084207.517576,5.296,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084207.618569,3.819,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084207.719561,4.291,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084207.820591,4.958,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084207.921568,4.552,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084208.022535,4.688,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084208.123502,4.112,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084208.225139,5.228,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084208.325565,4.643,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084208.426608,4.981,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084208.527534,4.204,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084208.627855,4.394,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084208.728603,3.850,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084208.829530,2.578,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084208.930543,3.635,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084209.032517,5.164,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084209.133805,4.922,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084209.235407,4.895,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084209.336626,4.285,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084209.437623,4.504,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084209.538519,3.920,1,200,inference-gateway-78cbd9f4cc-6tmfp,
