2026/05/13 22:27:00.113, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:00.114, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:05.116, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:05.117, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:10.118, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:10.121, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:15.123, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:15.124, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:20.125, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:20.127, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:25.128, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:25.130, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:30.131, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:30.133, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:35.134, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:35.136, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:40.138, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:40.139, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:45.141, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:45.142, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:50.144, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:50.145, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:55.147, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:27:55.149, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:00.151, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:00.152, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:05.153, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:05.155, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:10.156, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:10.158, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:15.160, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:15.162, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:20.163, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:20.165, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:25.167, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:25.168, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:30.171, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:30.172, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:35.173, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:35.176, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:40.177, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:40.179, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:45.181, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:45.183, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:50.184, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:50.186, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:55.188, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:28:55.190, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:00.192, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:00.193, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:05.196, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:05.197, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:10.199, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:10.202, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:15.203, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:15.204, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:20.206, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:20.208, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:25.209, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:25.212, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:30.214, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:30.216, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:35.217, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:35.220, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:40.223, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:40.224, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:45.226, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:45.228, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:50.229, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 22:29:50.232, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
