ts,running,waiting,kv_cache_usage_perc,error
1783033508.9775088,0.0,0.0,0.0,
1783033509.0857604,0.0,0.0,0.0,
1783033509.1912324,0.0,0.0,0.0,
1783033509.297229,16.0,16.0,0.004854917014790572,
1783033509.4029553,16.0,16.0,0.004854917014790572,
1783033509.5087206,16.0,16.0,0.004854917014790572,
1783033509.6145544,16.0,16.0,0.004854917014790572,
1783033509.7200837,16.0,16.0,0.005457077264687027,
1783033509.8255951,16.0,16.0,0.005457077264687027,
1783033509.9312642,16.0,16.0,0.005457077264687027,
1783033510.0367508,16.0,16.0,0.005457077264687027,
1783033510.1426606,16.0,16.0,0.005457077264687027,
1783033510.2481494,16.0,16.0,0.005457077264687027,
1783033510.3536162,16.0,16.0,0.006059237514583593,
1783033510.458954,16.0,16.0,0.006059237514583593,
1783033510.5646267,16.0,16.0,0.006059237514583593,
1783033510.670477,16.0,16.0,0.006059237514583593,
1783033510.7762015,16.0,16.0,0.006059237514583593,
1783033510.8821054,16.0,16.0,0.006134507545820678,
1783033510.9876065,16.0,16.0,0.006661397764480048,
1783033511.093475,16.0,16.0,0.006661397764480048,
1783033511.199274,16.0,16.0,0.006661397764480048,
1783033511.304808,16.0,16.0,0.006661397764480048,
1783033511.4115646,16.0,16.0,0.006661397764480048,
1783033511.5179648,16.0,16.0,0.007263558014376614,
1783033511.6233442,16.0,16.0,0.007263558014376614,
1783033511.7286932,16.0,16.0,0.007263558014376614,
1783033511.8341863,16.0,16.0,0.007263558014376614,
1783033511.9394803,16.0,16.0,0.007263558014376614,
1783033512.0451295,16.0,16.0,0.007263558014376614,
1783033512.1515064,16.0,16.0,0.00786571826427307,
1783033512.2570977,16.0,16.0,0.00786571826427307,
1783033512.3625546,16.0,16.0,0.00786571826427307,
1783033512.467849,16.0,16.0,0.00786571826427307,
1783033512.573383,16.0,16.0,0.00786571826427307,
1783033512.6793764,16.0,16.0,0.008467878514169636,
1783033512.7847807,16.0,16.0,0.008467878514169636,
1783033512.8901136,16.0,16.0,0.008467878514169636,
1783033512.995685,16.0,16.0,0.008467878514169636,
1783033513.1009924,16.0,16.0,0.008467878514169636,
1783033513.206457,16.0,16.0,0.008467878514169636,
1783033513.31205,16.0,16.0,0.00907003876406609,
1783033513.4175816,16.0,16.0,0.00907003876406609,
1783033513.5228896,16.0,16.0,0.00907003876406609,
1783033513.628246,16.0,16.0,0.00907003876406609,
1783033513.733657,16.0,16.0,0.00907003876406609,
1783033513.8390515,16.0,16.0,0.009145308795303175,
1783033513.9446597,16.0,16.0,0.009672199013962546,
1783033514.0504203,16.0,16.0,0.009672199013962546,
1783033514.1560276,16.0,16.0,0.009672199013962546,
1783033514.2613616,16.0,16.0,0.009672199013962546,
1783033514.3669074,16.0,16.0,0.009672199013962546,
1783033514.472254,16.0,16.0,0.010274359263859112,
1783033514.5783484,16.0,16.0,0.010274359263859112,
1783033514.6842453,16.0,16.0,0.010274359263859112,
